symbol,log2FC_mut_vs_ctrl,t,p,fdr_bh
LINC02803,0.8487188882501803,3.3228765973593988,0.005028126065536011,0.010308538771813328
LOC105369161,0.5083116144779226,3.320508380339246,0.005051874958520518,0.010350265205792372
NPIPB3,0.8112454353473694,3.317754123467632,0.005079636288334743,0.010403665368356824
CSPG4P12,0.5186445097732135,3.3132001746135504,0.0051258725783454966,0.010487850101888482
TBC1D3B,0.8106875055612885,3.310723891149593,0.005151190714223654,0.010529445395041019
CCDC88C,0.4416642042189187,3.3107078532865235,0.005151355096203592,0.010529445395041019
GPER1,1.5363481290708207,3.308303549106293,0.005176057723579682,0.010572886986185755
ANKRD23,0.3541047934661491,3.3022779431003078,0.0052384884074108285,0.010686167699643387
BMS1P4-AGAP5,1.3299137430712138,3.2995324602016827,0.005267183150038592,0.01073927991393259
UTS2R,0.6154337615352815,3.2994518049455848,0.0052680284993793305,0.01073927991393259
ZNF563,1.048725967766473,3.297008495510875,0.005293701247841898,0.010784985690459586
FBXO32,1.6971082678605929,3.293833914635242,0.005327244593683306,0.010841968578777776
ZNF69,1.1026003737148233,3.2919681442959,0.005347057760914137,0.010875071026676729
NAT1,1.0838131256977186,3.2908548263487076,0.00535891547328501,0.010895572753312474
PAPSS2,0.8901861390424267,3.2869194666739294,0.005401041120598213,0.010973941686863456
SERPINE2,0.6101147008157948,3.2866893005921702,0.005403515124879464,0.010975330588307193
SMG1P3,0.7704754745743954,3.2814019518770694,0.005460660414616003,0.01108038674001857
RFPL3S,1.7691780362476257,3.280487343229759,0.005470606504894589,0.011096895392125687
LOC102723534,0.8259749676356946,3.2764318845203393,0.005514926816822141,0.011172009711539895
NXF2,1.255091683688566,3.27432695838556,0.005538071797325638,0.011215189995905568
TMEM147-AS1,0.5197048165649198,3.2738447155695547,0.005543388000863409,0.011218543560677682
LOC100507006,0.6239303056250185,3.272258987273031,0.005560904886745123,0.011243340385953053
LRRC39,1.8734742388041612,3.2700798547412275,0.005585067060645878,0.011287985849574427
C1orf226,0.5475687249067902,3.2695197286100313,0.005591294642788238,0.011296847778606425
SLC7A9,1.9000505745377996,3.2693340631730976,0.005593360433692199,0.011297298009401378
CGN,0.3313444920745516,3.2684687218217747,0.005602998638076527,0.011313037434587982
NXF2B,1.234572614883411,3.267744769459568,0.005611074783567723,0.011325613573681309
AGAP13P,0.7393054979509094,3.2656400200271034,0.005634620658059615,0.011369395863695009
DCDC2,1.8019955723711263,3.265202579358558,0.005639526681942893,0.011375550694409323
LOC105372295,0.9535058995217851,3.2630988681691235,0.005663180038736295,0.0114157493053119
HMGA1P8,0.9955341265952337,3.258420221199671,0.005716140622269485,0.011518718610950673
NPIPB5,0.8115162146701757,3.2570693309757486,0.005731523966975397,0.011540233547947958
LOC729218,0.8903742074608902,3.2541565309060494,0.005764834374059419,0.011601587233415705
HERC2P7,0.624169193723262,3.2501610200829743,0.005810840952040863,0.011686500996066435
LOC100507156,0.6246877896909298,3.2458913872681685,0.005860408841101116,0.011778461047852407
ZNF296,0.6976120924281277,3.24306806219998,0.005893417394158419,0.011833163650897842
LOC112268239,1.6390916855278304,3.242879880391694,0.0058956240785911765,0.011833718271697418
TNRC6B,0.4273430933292215,3.2398440934319694,0.005931336846791399,0.011897609578151594
LOC107984347,0.6976338628981759,3.238516970200384,0.005947016717703599,0.011920181756910222
GOLGA3,0.7257186146503077,3.2382711319433373,0.005949925814439528,0.011920181756910222
IL17RC,1.4369977433450407,3.2382337701487023,0.005950368054836098,0.011920181756910222
KMT2C,0.5794420982413995,3.236814014858893,0.00596719758425052,0.011946087913604077
KCNT1,0.7802388554360733,3.236062003313085,0.0059761310162905305,0.011956162901390649
PSMD6-AS2,1.7270598930203032,3.2336487739517072,0.006004888844915004,0.01200808714591276
GOLGA4,0.9170570185094077,3.2320887336127586,0.006023552825177949,0.012035325560085016
RPS18P9,1.0901122758390713,3.226045646799982,0.006096398485324654,0.012165744999129171
FLJ38576,0.83091060944906,3.226015434967181,0.0060967648674265604,0.012165744999129171
LOC102723564,1.1523730875948952,3.22338841355224,0.006128707097314915,0.012225504232522106
KRI1,0.3025326481772542,3.2187019244580966,0.006186105319623593,0.012327966713034013
LRG1,1.6301334066234707,3.214434053793868,0.006238842339210807,0.012419262135241915
LOC101929270,0.7339532701115045,3.2143390967840664,0.0062400207792080095,0.012419262135241915
LOC105374947,1.3819754881490778,3.212336569313939,0.006264924354864119,0.012464779712858502
ATM,0.30945307610593875,3.2101986894760484,0.006291620463148601,0.012513833043186541
LINC01001,0.9531534841249732,3.2098486106981476,0.006296002746890846,0.012518487459760261
ANKS3,0.2049456204232205,3.2093434368129508,0.0063023318699123535,0.01252700854817209
LRRC37A4P,1.1244864233735379,3.2053319697161453,0.006352815421184308,0.01260691438389764
MIR9-3HG,0.8096371275549098,3.2030907711855994,0.006381195629895078,0.012652429633050088
BDP1,0.7011978931297765,3.2030318616555373,0.0063819432994112356,0.012652429633050088
TTC25,0.42375501624907524,3.2014842284294227,0.006401616871445345,0.01268732991333979
KLF3-AS1,0.4688943068995485,3.2003781268158353,0.006415714669949756,0.012711160609822884
DNHD1,0.692602803405645,3.197705900331214,0.006449901167261267,0.012770637647064459
LOC729870,0.9394114412699573,3.1967156493434037,0.006462615714565214,0.012791680442455525
ZBED3-AS1,0.46440963125865065,3.1949420304406346,0.006485450888490182,0.012829393458287288
FKBP11,0.3427967736698977,3.1949107093256144,0.006485854865780148,0.012829393458287288
CCDC191,0.6273753497903976,3.1932019750125744,0.006507931989568845,0.012864760753323774
PPP3CB-AS1,0.9734944500381839,3.192957844522102,0.006511092296295747,0.01286685872865665
TNXB,0.8980387108221873,3.191131389040163,0.006534784559384844,0.012909516387054171
NOD1,0.7240836159042529,3.189677747906889,0.006553702087678404,0.012938548727043035
LOC105375148,0.5314911543529296,3.1877274882592816,0.006579168199939719,0.01298046381256211
LINC01004,1.3082977472300559,3.185964454608188,0.006602274292278194,0.013013485984458305
CCDC14,0.3866082503105945,3.1855953253287024,0.006607122267520431,0.013018855512664816
LOC100419892,0.4896940720521645,3.1808274481954,0.0066700606691201805,0.013125994189953999
RAD51-AS1,0.3537786878468443,3.180280744604728,0.006677315448743626,0.013136053819254952
CFP,0.806696875349439,3.1788615366017985,0.006696185060477737,0.013168949124391571
TSNAXIP1,0.23703606891363443,3.1777949120172715,0.0067104016760396535,0.013190589657660312
AACSP1,1.0597190083896681,3.1775519416523315,0.006713644328205575,0.013190589657660312
SNTG2,2.0334687589853546,3.175076501953272,0.006746770205852411,0.013242939917347192
LOC112268072,1.7619140541988936,3.174328016152192,0.006756818279357503,0.013258417430365394
LOC107985276,1.108176638867241,3.1725879575830453,0.006780235316829118,0.013291602971590181
EIF4HP2,1.858403335928478,3.172412224092797,0.0067826047533648594,0.013291997166920266
LOC101926977,0.7822863404292841,3.1718544775089903,0.006790130376054922,0.01330036182494056
MSS51,0.9963657087177686,3.1717652921022976,0.006791334516337062,0.01330036182494056
LOC105372824,0.7063269422681218,3.1716136653769618,0.006793382198024289,0.01330036182494056
SP140,1.8756251553786254,3.171385653894179,0.006796462593110506,0.013302144219593678
LOC644215,0.7486497560446592,3.1709028420515715,0.006802989882102328,0.013310669638457475
GABPB1-AS1,0.29617073124293664,3.1700398525696376,0.006814672449804163,0.01332502140902696
MDM4,1.0129346806718187,3.167392918604269,0.006850629436503888,0.013386789431230103
WHAMM,0.38228374893071615,3.1660687722814815,0.006868687890784567,0.013417800118071827
AGPAT4-IT1,1.163663822734566,3.1653262459537235,0.0068788350276163535,0.013433341420607916
RECK,0.2981113822883573,3.163186884526778,0.006908154294537246,0.013486301218316342
MIR6758,1.6470532237347264,3.1592684567373106,0.006962177636883627,0.013587439959916153
