rank_nsig3,rank_all,pert_iname_lower,best_score,median_score,n_sigs
7196,7805,brd-k74189021,-0.1434754,-0.038878895,13
7197,7806,brd-k24665987,-0.14347358,0.018349133,15
7198,7807,brd-k96352830,-0.14345968,-0.04736441,6
7199,7808,brd-k62466453,-0.14345469,-0.030937891,12
7200,7809,acetohexamide,-0.14344911,-0.013933521,3
7201,7810,brd-k37021324,-0.14344531,0.02208068,13
7202,7811,brd-k18976419,-0.1434065,-0.018138707,6
7203,7812,brd-k37249103,-0.14339404,-0.09401719,5
7204,7813,brd-k26391060,-0.14338449,-0.06468306,4
7205,7814,dehydrocholic-acid,-0.14338414,0.046529725,16
7206,7815,brd-k34898990,-0.14337246,-0.05029309,6
7207,7816,brd-k18294324,-0.14335488,-0.026924882,6
7208,7818,brd-k79652816,-0.143342,-0.09729807,4
7209,7820,brd-k66729212,-0.14331698,0.12681442,4
7210,7821,brd-k13077924,-0.14328878,0.012559714,28
7211,7822,brd-k01568615,-0.14327185,-0.043588355,5
7212,7823,brd-k54805796,-0.14326102,-0.009495131,9
7213,7826,at-csc-18,-0.14324144,-0.015891355,12
7214,7827,brd-k23781896,-0.143241,-0.0276042,6
7215,7828,brd-k57027181,-0.14323393,-0.05397866,4
7216,7829,brd-k19729667,-0.14322971,-0.047084533,4
7217,7830,brd-k99958302,-0.14320923,0.0389472,7
7218,7831,brd-k69003436,-0.14320695,0.012620781,17
7219,7832,brd-k27398156,-0.14318892,-0.057942152,5
7220,7833,fisetinidol,-0.14318259,-0.020859078,15
7221,7834,brd-k97910278,-0.1431808,-0.014975353,4
7222,7835,brd-k81666293,-0.14317739,-0.05698043,4
7223,7836,brd-k57339160,-0.1431743,0.012717593,3
7224,7838,brd-k38842489,-0.14313538,-0.0030830759,5
7225,7839,brd-k48863671,-0.14312087,-0.00031769648,6
7226,7840,brd-k59633395,-0.14311695,-0.08353692,11
7227,7841,brd-k90410459,-0.1430968,0.018417872,6
7228,7842,ciclopirox,-0.14308791,-0.047739964,4
7229,7844,brd-k09542523,-0.14303288,-0.016865902,7
7230,7846,brd-k16318272,-0.14299949,-0.061223444,5
7231,7847,brd-k82096551,-0.14299482,-0.075297944,11
7232,7848,brd-k06187854,-0.14296712,-0.12503806,6
7233,7849,brd-k41761456,-0.14296474,-0.052939728,6
7234,7850,brd-k57166447,-0.14296119,-0.057589944,11
7235,7851,brd-k74192638,-0.14295986,0.0068838205,4
7236,7852,brd-k56366698,-0.14295213,0.01851667,5
7237,7853,brd-a82197375,-0.14294203,0.072621316,13
7238,7854,assinex_d328,-0.14292632,-0.053331044,8
7239,7855,brd-k01425431,-0.14291796,-0.055767313,7
7240,7856,brd-k15882173,-0.14290616,-0.09651704,5
7241,7857,brd-k48566675,-0.14290553,-0.09042846,5
7242,7858,brd-k28615450,-0.1429001,0.06538509,4
7243,7859,brd-k29033329,-0.14289697,-0.0838793,4
7244,7860,brd-k42951169,-0.14288811,-0.030641321,4
7245,7861,brd-k15524596,-0.14287636,0.0362773,12
7246,7862,aminohippuric-acid,-0.1428697,-0.034410626,4
7247,7863,brd-k55878534,-0.14285733,0.0305174,12
7248,7866,brd-k80879725,-0.14282481,-0.070052534,3
7249,7867,brd-k88092133,-0.14281541,-0.09864459,4
7250,7868,cgp-57380,-0.14280847,0.083703235,31
7251,7869,brd-k59253994,-0.14279354,0.048061848,12
7252,7870,brd-k97466946,-0.142779,0.1238821,4
7253,7872,brd-k44511222,-0.14270683,-0.028581668,4
7254,7873,brd-k43774268,-0.14270116,0.056115165,6
7255,7874,brd-a89067742,-0.14270088,0.051269487,18
7256,7875,brd-k73315009,-0.14268632,-0.04250237,13
7257,7876,brd-k89009594,-0.1426807,0.0206346,15
7258,7877,brd-k53187535,-0.14265941,0.041958425,7
7259,7878,brd-k97277752,-0.1426462,-0.09856331,4
7260,7879,brd-k44341698,-0.14263715,0.08443018,4
7261,7880,brd-k59939374,-0.14263019,-0.07217487,18
7262,7881,flumequine,-0.14262508,-0.026248641,3
7263,7882,brd-k42678365,-0.1426227,-0.03430952,4
7264,7884,brd-k12826563,-0.14261983,0.07535042,4
7265,7885,brd-k96103953,-0.14260162,-0.13066925,3
7266,7886,brd-k07760433,-0.14256538,-0.04860584,6
7267,7888,brd-k57443339,-0.14255105,0.018523173,13
7268,7889,brd-k92707657,-0.14252892,0.03597276,6
7269,7890,rs-39604,-0.14252432,0.01760747,23
7270,7891,emd-66684,-0.14252383,0.059058826,19
7271,7892,brd-k85237791,-0.14252096,-0.002748894,6
7272,7893,brd-k44715408,-0.14250754,0.08648687,5
7273,7895,brd-k86110682,-0.14250226,-0.018945824,17
7274,7897,brd-k65655554,-0.14249976,-0.01518422,5
7275,7898,brd-k18067885,-0.14245872,-0.043467447,6
